네,yes
빤히,evidently, obviously;intently
선,line;goodness, virtue;meeting with a prospective marriage partner
무렵,time
뺨맞다,to get slapped
얼룩,stain, spot
편견,prejudice, bias
지지난,the day, week, month, etc. <b>before last</b>
분실,loss
전편,the whole book (movie, series etc.);the original book (movie)
급식,food service
설화,tale, story
모음,vowel
예비군,reservist, reserve forces
부정확,inaccuracy, incorrectness
작전,operation, military action
새집,new house;bird's nest
착각하다,to be under an illusion, delude oneself
드러내다,to reveal, expose, show
유력하다,to be influential, leading, powerful
음성,voice;negative
잠실,Jamsil
올바르다,to be straight, upright, correct
위대하다,to be great, grand
지혜,wisdom, wit
독특하다,to be peculiar, unique, distinctive
처지,position, circumstances, situation
조미료,seasoning, condiment
식용유,cooking oil
해바라기,sunflower
깨,sesame
물끄러미,with a blank look
금품,money and valuables
몸매,one's figure
듬직하다,to be reliable, dependable
활발하다,to be lively, active
자상하다,to be attentive, considerate, thoughtful
지적하다,to point out, indicate
신청서,application form
온전하다,to be whole, intact
음절,syllable
앞면,the front
북녘,north
펭귄,penguin
해변,beach, seashore
관광객,tourist
요원,agent
장물,stolen goods
순진하다,to be naive
쏘다,to shoot, fire
앙큼하다,to be sly, cunning
연락선,ferry
신속하다,to be quick, prompt, swift
마지못해,reluctantly, grudgingly
숙면,deep sleep, sound sleep
얼빠지다,to be dazed, be dull-headed, lose one's senses
악성,bad, vicious, malignant
포장마차,(covered) cart bar, snack stall
바래다주다,see a person home
현관,front door, entrance, foyer
말대꾸하다,to talk back, retort
꼬박꼬박,regularly
잔뜩,to the greatest possible extent, to the fullest
시리다,to be cold (about one's body parts)
택배,parcel delivery service
꿇다,to kneel (down)
인턴,intern
엽서,postcard
극복하다,to overcome
실연하다,to be disappointed in love, heartbroken;<br>to demonstrate
배신하다,to betray
명상,meditation
영업시간,business hours
사직서,letter of resignation
힘내다,to gather heart, cheer up
전처,one's former wife, ex-wife
야무지다,to be sturdy, skillful, shrewd
출연하다,to appear (in a movie etc.)
원기,energy, vigor
밥상,dinner table
씩씩하다,to be brave, manly
탈락하다,to drop out, be eliminated
쓰레기통,garbage can, waste basket
오븐,oven
장식장,display cupboard, cabinet
주전자,kettle
화장대,dressing table
소방관,fireman
일과표,daily schedule
투명하다,to be transparent
유행가,popular song
직전,just before
일출,sunrise
구역,area, zone, district
삽,shovel
대장,general, admiral;leader, commander
팔씨름하다,to arm wrestle
뺏다,to take (away), snatch
야단맞다,to be scolded thoroughly
고자질하다,to tattle, tell on
강의실,lecture room
시시하다,to be dull, boring;to be trivial, insignificant
새치기하다,to jump the queue, cut in line
가버리다,to be gone
솥,iron pot
피해자,victim
올바로,honestly, uprightly, properly
화창하다,to be sunny
통통하다,to be plump, chubby
머물다,to stay, remain
터지다,to burst, blow up, explode
추가하다,to add, supplement
허리띠,belt
정오,noon, midday
고아원,orphanage
다락,attic
안부,regards
화랑,art gallery
싸늘하다,to be cool, chilly
어리석다,to be foolish, stupid, silly
뾰족하다,to be pointed, sharp
외딴,isolated, remote
탄탄하다,to be solid, strong, robust
뒤돌아보다,to look back
친숙하다,to be familiar
그리움,longing, yearning
또래,peer (group), same age group
뒤쳐지다,to be left behind
표준어,standard language
탈출하다,to escape
함정,trap
불타다,to burn, be in flames
업다,to carry on one's back
파업,strike, walkout
썩다,to rot, decay, go bad
통제,control
하찮다,to be trivial, petty, insignificant
사진기,camera
앞지르다,to pass, overtake, get ahead
정열적,passionate
회화,conversation;painting
재다,to measure, gauge
이별하다,to part, separate
도저히,not at all, no way
포위하다,to surround, encircle
명심하다,to keep in mind, remember
고무,rubber
문방구,stationery;stationery store
사기꾼,con artist, swindler
급여,pay, salary
논,rice field
동점,tie, same score
정형외과,orthopedics
꼴불견,unsightliness
봉사활동,community service activities
옛일,things of the past
교과목,subject, course
충전기,charger
청구서,bill, invoice
계산원,cashier
재채기하다,to sneeze
교양,sophistication, refinement
말짱하다,to be impeccable, neat;to be perfectly okay
응답,answer, response
차이다,to get kicked;to be dumped
재계,the financial world, business circles
집단,group
소심하다,to be timid, shy
김새다,to lose intereset, enthusiasm, be disappointed;to spoil one's fun
감추다,to hide, conceal
원칙,principle, general rule
양초,candle
처자,one's wife and children;<br>a maiden
공지하다,to announce, notify
얕다,to be shallow
다람쥐,squirrel
수줍다,to be shy
진실되다,to be true, truthful, sincere, real
맹세하다,to swear, pledge
파트너,partner
확대하다,to expand, magnify
배송,shipping, delivery
영화제,film festival
높임말,honorific language (style, words)
신입사원,newly hired employee
옆집,next door
연주회,concert, recital
벽보,poster
고사하다,to reject, decline;to wither (away)
합창단,choir, chorus
후보,candidate, nominee
앞서,before, earlier
숙이다,to drop, lower, bow, bend
되뇌다,to repeat, say (many times over)
고집,stubbornness, insistence
잠수하다,to dive, go underwater
널리,widely, broadly, all over
이롭다,to be beneficial, do good
먹이,food, feed
녹음기,recorder
전시하다,to exhibit, display
가곡,song
들키다,to get caught, be discovered
상견례,meeting (between the families of the bride and the groom)
교훈,lesson, moral
양쪽,both sides
실컷,to one's satisfaction, as much as one likes
연수,training, study
알몸,naked body
해수,seawater
두통,headache
애완동물,pet
아웃,out
신중하다,to be cautious, prudent, discreet
팔꿈치,elbow
단위,unit, measure
모집하다,to recruit, invite
등장하다,to appear, make an appearance
한계,limit, boundary
솜,cotton
선전,propaganda,&nbsp;advertisement
세균,bacteria, germ
연속,series, streak, continuation
연인,sweetheart, lover
화장지,toilet paper
저항,resistance, defiance
손해,damage, loss
급히,hastily, in a hurry
문패,doorplate
혼동하다,to confuse, mix up
번갈아,alternately, by turns
난로,heater, stove
파괴하다,to destroy, ruin
임시,temporary
갈등,conflict
초기,the early days, the beginning
이론,theory
골탕먹다,to suffer a big loss, be cheated
사기,fraud, deception, scam;morale, fighting spirit
탓,reason, blame
끝장,end, conclusion, termination
회복하다,to recover, regain, get better
녹화,video recording
기자회견,press conference
무지,ignorance, stupidity;very, extremely
군소리,unnecessary remark
이어폰,earphones
웬만하다,to be tolerable, fairly good
잽싸다,to be quick, swift, agile
이륙하다,to take off (about planes)
뛰어나다,to be outstanding, excellent
한반도,the Korean peninsula
풍부하다,to be plentiful, ample
인근,vicinity, nearby
어긋나다,to be contrary, at cross purposes;to go amiss
맺다,to bear, produce;to form
방울,drop (of liquid);bell
흘러내리다,to run down, trickle down
모질다,to be harsh, hard, severe
밋밋하다,to be flat, plain, dull
그저,without any reason
절망,despair, hopelessness
이성적,rational, reasonable
먼지,dust
멋대로,as one pleases, selfishly
주의사항,matters that require (special) attention
질색하다,to detest, loathe
양치질하다,to brush teeth
반응,response, reaction
건배,toast, cheers
원수,enemy
스타일,style
데뷔하다,to make one's debut
출렁거리다,to slop, splash, roll
재난,disaster, catastrophe
암,cancer
스킨십,touch (skin to skin, with affection)
박다,to thrust in, hammer, drive
크레파스,crayon
켤레,a pair
학과,(university) department, major;lesson, classwork
언론,the press, the media
암소,cow
주정하다,to act in a drunken and disorderly way
껍데기,shell, skin
녀석,guy, fellow
미끈미끈하다,to be all slippery, very smooth
맨손,bare hands
부딪치다,to bump against, crash into, collide
기절하다,to faint, pass out
결승,finals
혈액,blood
성형수술,plastic surgery
관습,custom, convention
근시,nearsightedness
교정하다,to proofread;to correct
조명하다,to illuminate, highlight
오싹하다,to shudder, feel a chill
원점,starting point
휴식,rest, relaxation
유리하다,to be favorable, advantageous
법칙,law, rule
육지,land
신하,servant, vassal, government officer
감염,infection
정지하다,to stop, halt
수명,life, life span
밤새우다,to stay up all night
엘리베이터,elevator
난방,heating
불어,French language
망치다,to spoil, ruin, screw up
아담하다,to be neat, tidy;to be petite
외향적,extroverted, outgoing
탐내다,to want, desire, covet
어기다,to break, violate
의젓하다,to be mature, dignified
진학하다,to enter (a higher level of) school
낭만,romance
사연,story, situation
예정일,due date
착수하다,to start, launch
단조롭다,to be monotonous
이력,background, personal history, record
이주하다,to move, migrate
애매하다,to be vague, obscure, uncertain;to be wrongly accused
특집,special edition
사막,desert
출신,native, origin
동영상,video
냉정하다,to be cool-headed, objective, cold-hearted
관광지,tourist attraction [spot]
이끌다,to lead, guide
콘센트,socket, electrical outlet
여기다,to regard, consider
굴뚝,chimney
평평하다,to be flat, even
따갑다,to be stinging, burning, irritated (for one's skin or body parts)
놓아두다,to leave (as is)
정화,purification
뱉다,to spit out
천벌,divine punishment
정밀,detailed, precise, exact
구석구석,every nook and corner
멎다,to stop
문화재,cultural assets
여신,goddess
엉덩이,butt, buttocks
종영,end (of a show or movie)
합의,agreement, consent;consultation
피신하다,to escape, flee, take shelter
청춘,youth
건국,establishment of a country
금실,marital chemistry (harmony)
어림,rough estimate
지휘하다,to command, lead, direct
죄목,charge, name of a crime
자재,materials
인하,reduction, cut
경청하다,to listen attentively
용감하다,to be brave, daring, courageous
등불,lamp, lamplight
백과사전,encyclopedia
대상,object, target;grand prize
음반,record, album
견적,estimate (for)
기막히다,to be struck dumb, be stunned;to be perfect, fantastic
물품,item, article;goods
동참하다,to join, take part in
화살표,arrow
설득하다,to persuade
퇴직,retirement
대우하다,to treat
접수,receipt, reception
도심지,downtown
실종,disappearance
예능,artistic talents
단둘,two persons (alone, in private)
외양,appearance, look
피로,fatigue
수거하다,to collect, pick up
첨부하다,to attach
간주하다,to regard, consider
저주,curse (magical)
발행,publication, issue
안락하다,to be comfortable
숟갈,spoonful (of sugar or other ingredients)
주동자,leader
충성,loyalty, devotion
엎드리다,to lie face down
뻗다,to reach, stretch out, spread
토박이,natives
오냐오냐하다,to overindulge, allow [kids] everything
사양,specification;<br>rejection, declining
소장,manager, head;<br>written complaint, petition
수속,procedure
생생하다,to be vivid
당사자,the person directly involved
면전,to one's face
주저하다,to hesitate
기약,promise
납득하다,to accept
주선하다,to arrange, set up
뚫다,to bore, dig, pierce
독신,bachelorhood
최대한,maximum, at the most
미화하다,to glorify, glamorize, romanticize
주름,wrinkle, crease
건축,architecture, construction
뒤지다,to look through, go through, search for, rummage;<br />to fall behind
미모,good looks, beautiful face
겸비하다,to have both, combine
웅변,eloquence, oratory
어림없다,to be far from, be beyond
납기일,pay day, date for payment
울보,crybaby
낭비하다,to waste
기어이,no matter what, without fail
거칠다,to be rough, coarse
쟁반,tray
체조,gymnastics
무덤,grave, tomb
동호회,club, society
풍선,balloon
줄곧,all the time, continually
연말,end of the year
유부남,married man
솟다,to rise;to gush out, flow out
헌,old, shabby, used
간섭하다,to interfere, meddle
가보다,to have been to a place
맞히다,to hit the mark, guess right
체험,experience
데다,to be burnt, get scorched, scald oneself
원한,grudge
넉넉하다,to be sufficient, plenty
초조하다,to be anxious, restless, impatient
공감,sympathy
적중하다,to hit the mark (target), come true
재방송,rerun, repeat
영웅,hero, heroine
멀뚱멀뚱,blankly, vacantly
건축물,building, structure
거문고,Korean harp
굴,cave;oyster
소매치기,pickpocket
과식하다,to overeat
복장,attire, clothes
체결하다,to conclude (a contract), to sign
빈방,vacant room
은혜,favor, kindness, benefits
큰아버지,father's elder brother
큰어머니,father's elder brother's wife
운동복,sportswear
국어,national language;mother tongue
외할아버지,maternal grandfather
남미,South America
소설가,novelist
끊어지다,to break down, break off, snap, run out
기뻐하다,to be pleased, happy, glad
수돗물,tap water
업소,business establishment
합창,chorus, ensemble
완강하다,to be stubborn, insistent
줄다,to decrease, shrink, lose size
마약,drugs, narcotics
전화비,telephone bill
멕시코,Mexico
경기장,sports stadium
서먹하다,to feel awkward, be ill at ease
시외,the suburbs, outside the city limits
영하,temperature below freezing
학생증,student ID
사원,employee, member of the staff;temple, mosque
점퍼,jacket, windbreaker
조그마하다,to be small, tiny
소형,small item, small size
면세점,duty-free shop
쿨,cool
아랍,Arab
로션,lotion
즐거움,pleasure, joy, happiness
봉지,bag, sack
깃,collar;feather
베트남,Vietnam
벚꽃,cherry blossoms
담그다,to soak, immerse
당당하다,to be imposing, commanding, confident, dignified
추리소설,mystery novel
경력,career, work experience
무궁화,Rose of Sharon
나흘,four days
떡국,rice-cake soup
후원,support, backing, sponsorship
반성,self-reflection, self-examination
가두다,to shut in, lock up
남대문,the South Gate
브라질,Brazil
외숙모,maternal uncle's wife
선비,classical scholar
닫히다,to be closed, to shut
패션,fashion, style
보육원,orphanage
실물,real [life] (as opposed to a picture or a model)
보고서,report, paper
몽골,Mongolia
작은아버지,father's younger brother
작은어머니,the wife of father's younger brother
바이올린,violin
미술관,art museum
올려놓다,to put a thing on a place
여유,time/money to spare, composure
준비물,preparation material, stuff
소년원,youth detention center
베이징,Beijing
액세서리,accessories
탤런트,TV actor, TV star
발라드,ballad
연봉,annual salary
조조,early morning
호의,goodwill, kindness
무관심하다,to be indifferent, unconcerned
출소하다,to be released from prison
듯하다,to look like, seem, look as if
괴짜,odd (eccentric) person
지성,brain power, intelligence;<br>sincerity, devotion
비축하다,to reserve, stock up (on)
왜곡하다,to distort, twist
새침하다,to be coy, prim
얄밉다,to be mean, nasty, provoking
무기,arms, weapon
방대하다,to be huge, vast, massive
우유부단하다,to be indecisive
준수하다,to abide by, comply with, obey [rules, law];to be good-looking
배반,betrayal
사직하다,to resign, step down
필독,required reading
비결,secret, key (of how to do something)
눈보라,snowstorm
자음,consonant
선적,shipment, shipping;the nationality of a ship
강요,enforcement, coercion
감미롭다,to be sweet, mellow
농장,farm, ranch
방귀,fart
충동,impulse, urge
민주주의,democracy
사또,district magistrate
이내,within, less than;soon, at once
세끼,three meals (a day)
삐치다,to sulk
독자,reader, subscriber
변경,change, alteration
동그랗다,to be round
정체,identity, true character;not moving
드러나다,to be exposed, emerge, come out
섬세하다,to be delicate, fine
막걸리,raw rice wine
경쟁자,rival, competitor
걷히다,to clear up, lift
용모,appearance, look, face
사이좋게,on good terms, friendly, in harmony
난민,refugee
식량,food, provision
금붕어,goldfish
새장,bird cage
인증,certification, confirmation
간직하다,to cherish, treasure, keep
면,side, face;cotton
심지어,even, what is more<br />
유령,ghost
긍정적,positive, affirmative
반나절,six hours, half the day
악취,bad smell, stink
죄짓다,to commit a sin, do sinful things
소망,wish, hope, desire
망원경,telescope
게시판,bulletin board, notice board
민생,public welfare, people's livelihood
친부모,one's birth parents
연설,speech, address
선입견,prejudice, preconcieved notion
주먹밥,rice balls
수사,investigation;<br>numeral
열애,passionate love
소속사,agency, management company
교제,association, acquaintance, society
시점,point in time;<br>point of view
차원,level, dimension
떠가다,to float, drift
측,side
게재하다,to print, publish
목격자,eyewitness
게시물,post (on the internet etc.)
동행하다,to accompany
목청껏,at the top of one's voice
전날,the day before, previously
서리,frost
유부녀,married woman
묘,grave, tomb
아래쪽,down, lower part
상반기,the first half of the year
제왕,king, emperor
사슴,deer
미신,superstition
결석하다,to be absent (from school)
괴담,ghost story
사치스럽다,to be luxurious, extravagant
총동원하다,to mobilize all the resources
멍청하다,to be stupid, dumb
패배하다,to be defeated
총점,total score
왕자,prince
상인,merchant, dealer
애정,love, affection
과시하다,to show off, parade
배신자,betrayer, traitor
까먹다,to forget;<br>to peel and eat;<br>to use up
야식,late-night snack
홍수,flood
따로따로,separately, individually
사돈,relatives by marriage, in-laws
창가,area near window
보안,security
직진하다,to go straight
치수,size, measurement
완결,completion, conclusion
사냥하다,to hunt
야외,outside, open air
질병,disease, illness
접하다,to learn, hear
띄우다,to make something fly or float;<br>to send
속담,saying, proverb
하마,hippo
호두,walnut
좋아지다,to become better;to become fond of
닷새,five days
하여튼,anyway, anyhow, in any case
뇌,brain
벼,rice
웨이터,waiter
성실하다,to be sincere, faithful
애독자,(devoted) reader
햄,ham
베이지색,beige
접촉,contact, touch
수화기,telephone receiver
액운,bad luck, misfortune
명단,list of names
어학연수,language study abroad
책자,booklet, brochure
입장권,admission ticket
과수원,orchard, fruit garden
동구,entrance to a village
거르다,to skip, miss;<br>to filter (out)
끼니,meal
검사관,inspector, examiner
당첨되다,to win the prize
선곡,selection of music
마무리하다,to finish, finalize, complete
욕설,insult, abusive language
입장,position, situation;<br>admission
학제,school system
이력서,resume, CV
연차,annual
월차,every month, monthly
거래,deal, dealings, trade
매출,sales
협상,negotiation, talks
접대,entertainment, reception, hospitality
선박,big ship
정감,feeling, emotion, sentiment
개학하다,for school to start (after vacations)
어설프다,to be imperfect, not adequate, sloppy
익명,anonymity
돌아서다,to turn (around)
아득하다,to be far away, in the distance
문맹,illiteracy
손발,hands and feet
예민하다,to be sharp, keen, acute, sensitive
상무,director
긴장감,tension, suspense
무난하다,to be easy, safe, acceptable
오그라들다,to shrink, shrivel
어미,ending;(animal) mother
일꾼,worker
다소,more or less, to some degree
산뜻하다,to be fresh, refreshing
차분하다,to be calm, cool
기일,anniversary of one's death;fixed date, appointed day
소송,lawsuit
변태,pervert
출세하다,to have great success in life
음모,conspiracy, scheme
계략,scheme, trick, plot
문득,suddenly
내쉬다,to exhale, breathe out
의욕,will, drive
봉변,humiliation, mishap
헐다,to tear down, demolish
정수기,water purifier
쓰러지다,to fall down, drop down, collapse
생방송,live broadcast
묘미,charm, beauty
공손하다,to be polite, courteous
명찰,name tag
자취,trace, trail
무의식적,unconscious, involuntary
상큼하다,to be fresh, refreshing
멍들다,to get a bruise
명곡,classic, musical masterpiece
대결,contest, confrontation, fight
중독성,addictiveness;<br>toxicity
마귀할멈,witch
또박또박,clearly, neatly
식상하다,to be fed up, sick and tired
시범,setting an example, demonstration
하나씩,one by one
하락,drop, fall, decrease
물어내다,to pay for, compensate
눈길,snowy road;eyes, line of vision
회의실,conference room
계산대,counter, checkout
국회,national assembly
동아줄,rope
깃털,feather
독서실,reading room
상금,prize money, award (cash)
사극,historical drama
여사,Mrs., madame
주거,residence, dwelling
범위,scope, range, extent, limits
별명,nickname
유출되다,to be spilled, leaked
중복,overlap, duplication
수락,acceptance, consent
등급,class, grade, ranking
뒤져보다,to look for, hunt after, rummage
수정,modification;<br>correction;<br>fertilization
분주하다,to be busy
꽃잎,petal
흩날리다,to scatter, flutter, blow
비틀다,to twist
넘치다,to overflow, run over
반기다,to greet, welcome
미남,good-looking man
학문,learning, study
청와대,the Blue House, Korean presidential mansion
강제,coercion, by force
황색,yellow
노년기,old age
잔인하다,to be cruel, brutal
분장하다,to put on make up, dress as
벌리다,to open, widen, stretch out
충치,cavity, decayed tooth
꾸준히,steadily, consistently
흔들리다,to shake, sway, quake
미녀,beautiful woman
왕비,queen, empress
귀국하다,to return to one's home country
중순,the middle ten days of a month
발휘하다,to demonstrate, show
지장,hindrance, obstacle, harm;thumbprint
시댁,one's husband's home (family)
곧잘,quite well, frequently
어구,phrase;fishing gear
재작년,two years ago
비자,visa
기러기,wild goose
바구니,wicker basket
소나무,pine tree
저고리,Korean traditional jacket
투수,pitcher
도토리,acorn
까치,magpie
폐,lungs;trouble
외래어,loan words
궤도,track, orbit
외가,one's mother's parents' home
신작,new (piece of) work
늪,swamp, marsh, bog
분식,flour-based food
장님,blind person
펄럭펄럭,with a flutter, flapping
기이하다,to be strange, odd
내려앉다,to collapse, fall down
허용되다,to be permitted, be approved
쪽지,note, message
실명,one's real name;blindness
바늘,needle
앞줄,front row
생강,ginger
헛소문,groundless rumor
물비누,liquid soap
통합,combination, integration, unity
입장료,admission fee
일시,date and time;for a time
저자,author
강사,speaker, lecturer, instructor
수다쟁이,talkative person
기차역,train station
안내원,guide
나열하다,to list
햇빛,sunlight, sunshine
사진관,photo studio
주중,weekdays
원룸,studio (apartment)
새다,to leak, escape;to dawn
보증금,(security) deposit
타자,typing;batter, hitter
상대편,the other party
개시하다,to begin, start, open
중개인,broker, agent, middleman
쇼핑센터,shopping center
전세,lease of a house on a deposit basis;charter;war situation
집주인,landlord, house owner
놀이기구,amusement park rides
전달하다,to deliver, convey
베란다,porch
별나다,to be peculiar, strange
칼날,blade of a knife
권력,power
굳이,firmly, positively
국화,chrysanthemum
좁히다,to narrow, restrict
장가가다,to get married (for a man)
감시하다,to watch, observe, do surveillance
운영하다,to manage, run, operate
설치,installation
폭로하다,to disclose, expose
상,award, prize;table
할부,monthly installment plan
초보자,beginner, novice
조정,adjustment, modification;<br>mediation;<br>rowing
무디다,to be blunt, dull
눈빛,eyes, look
우수하다,to be superior, excellent
고무신,rubber shoes
해롭다,to be harmful, bad
축소하다,to reduce, cut down
물집,blister
절레절레,shaking one's head
거두다,to harvest, reap, gain
곡식,grain, cereals
오락,entertainment, pastime, recreation
하이웨이,highway
산꼭대기,top of a mountain
전환,change, switch
코스,course, route
전문적,specialized, professional
옷차림,dress, attire, getup
지팡이,walking stick, cane, wand
계곡,valley
유리창,glass window
보호자,guardian, protector
보건소,health center
기혼,married
일상생활,everyday life
만담,gag, comic talk
밥맛,appetite
친근하다,to be familiar, informal, friendly
개방하다,to open, unbar
잠옷,pajamas, nightclothes
놀이동산,amusement park
송별회,farewell party
공공기관,public institution
처방전,prescription
시행,enforcement, implementation
구청,district office
수년,a number of years
불법,illegality, unlawfulness
강당,lecture hall
핫도그,hotdog
학생회관,student center
찬밥,cold boiled rice
물리학,physics
변소,bathroom, toilet
조교,teaching assistant
룸메이트,roommate
외아들,only son
가렵다,to be itchy, feel itchy
물리다,to be bitten;to be fed up
재생하다,to remake, regenerate, recycle, play [a video]
공학,engineering
당초에,initially, originally
쾌적하다,to be pleasant, nice, comfortable
칼국수,chopped noodles
쌈밥,rice wrapped in greens
바퀴,wheel; round;cockroach
썰매,sled, sleigh
망가지다,to break down, be damaged
인출하다,to withdraw
적히다,to be written down
전봇대,telephone pole
새기다,to engrave, carve
길가,roadside
석유,oil, petroleum
머리핀,hairpin
정찰제,fixed-price system
측면,side, flank
도구,tool, instrument
수단,means, way
주어,subject
친목,friendship
행인,passerby, pedestrian
전골,beef with vegetables cooked in a casserole
무역항,trade port
대도시,big city
수족관,aquarium
물속,inside water
식물원,botanical garden
새끼손가락,little finger
사당,shrine
휴양지,rest area, resort, vacation spot
여행지,destination
복종하다,to obey
기껏,to the best of one's ability
대리,deputy, proxy
김장,kimchi prepared for winter
한옥,Korean-style house
열매,fruit, nut, berry
진행자,presenter, host, MC
지폐,paper money
대청소,general cleaning
국자,ladle
앞뒤,front and back, before and behind
대조하다,to contrast, compare
체력,physical strength
의무,obligation, duty
기획,planning
부서,department, division
의뢰인,client
짠돌이,cheap (stingy, frugal) person
튀김,fried food
메모지,memo pad, notepad
비기다,to end in a tie
환갑,sixtieth birthday
적응하다,to adapt, adjust
고사,examination
골,goal;<br>valley;<br>brain
하키,hockey
법학,law
인용,quotation, citation
판사,judge
긋다,to draw a line
기본형,basic form
기다,to crawl
어지르다,to make a mess
초청하다,to invite
확장하다,to expand, extend
오류,error, mistake
문의,inquiry
관리자,manager, administrator
체계,system
만족도,level of satisfaction
개편,reorganization, reform
제시간,scheduled time, appropriate time
여부,or not
이용자,user
단독,single, solo, independent
상승하다,to rise, climb, increase
입양하다,to adopt a child
이빨,tooth
손주,grandchildren
무능력하다,to be incompetent, incapable
비닐,plastic, vinyl
분리하다,to separate
원상복구,restoration to the original state
은퇴하다,to retire
새어머니,stepmother
가면,mask
채권자,creditor
채무,debt
불륜,affair, adultery
초점,focus
정면,front, facade
악마,devil
분리수거하다,to separate (trash)
탈진하다,to be exhausted, drained
액체,liquid
우두머리,leader, chief, boss
앞일,future
조직,group, organization
구성원,member
상업,commerce, business
금하다,to prohibit, forbid, ban
고유하다,to be unique, distinct, innate
밤낮,day and night
동의어,synonym
학점,credit, grade
대출,loan, lending
출력하다,to print out
경비,expenses;<br>guard, security
철학,philosophy
유형,type, category
단서,clue, lead;<br>condition
올케,the wife of a girl's brother
전망,view, prospect
장단점,pros and cons, strengths and weaknesses
관리비,management expenses, maintenance cost
결제,payment
금액,amount of money
추첨하다,to draw lots
농가,farmhouse, farming family
벨트,belt
한도,limit (regarding money)
계좌,bank account
합리적,rational, reasonable
망상,delusion
수직,vertical
매형,one's elder sister's husband
낭독하다,to read aloud, recite
맛보다,to taste, try
윗사람,one's senior, one's superior
눈부처,one's image reflected in a person's eye
처남,brother of one's wife
청혼하다,to propose marriage
창,window;<br>spear
표적,target
혼란,confusion, turmoil, chaos
덫,trap, snare
청첩장,wedding invitation
태우다,to burn;<br>to give a ride, take aboard
차편,transportation
마땅하다,to be suitable, appropriate, to deserve
시체,corpse
탄생하다,to be born
일정,schedule
당구,billiards
가뭄,drought
자수하다,to turn oneself in
대가족,large family, extended family
떠올리다,to recall, recollect
줄어들다,to grow smaller, decrease
설문지,questionnaire
콤플렉스,complex
광화문,Gwang Hwa Gate
광장,plaza, square
둘러싸다,to surround, enclose
당기다,to pull, draw, yank
감각,sense, feeling
샅샅이,everywhere, all over
꽃바구니,flower basket
찻집,teahouse
묶다,to tie, bind
목수,carpenter
미지근하다,to be lukewarm, tepid
앵무새,parrot
요술,magic, sorcery
가라앉다,to sink, settle
촛불,candlelight
서예,calligraphy
탈춤,masked dance
에펠탑,Eiffel Tower
체류하다,to stay
면회,visit
신세,debt, life
며느리,daughter-in-law
승리,victory
좌측,one's left
노선도,route map
따위,etc., and the like
날로,day by day;<br>raw, uncooked
알아차리다,to realize, notice
운수,fortune, luck;<br>transportation
유래,origin
이를테면,for instance, so to speak
계기,opportunity, motive;<br>instrument
청명하다,to be fine, clear
재능,talent, gift
정책,policy
논란,controversy, dispute
취지,purpose, object
오염되다,to be contaminated, polluted
능히,easily
전보,telegram
등기우편,registered mail
우체통,mailbox
집어넣다,to put into, bring in
창구,window, counter
성능,efficiency, performance
환율,exchange rate
원작,original (work)
받아쓰다,to take dictation, write down
도우미,helper, assistant
큰아들,one's eldest son
짭짤하다,to be a little salty
열연,enthusiastic performance
덮이다,to be covered
앓다,to be ill, suffer, be troubled
본래,originally, primarily, by nature
펼쳐지다,to spread, stretch out, unfold
폭풍우,rainstorm
애태우다,to worry, be anxious
끊기다,to be cut off, stopped, broken
들여다보다,to look into, peep, gaze
온통,all, wholly, entirely
거만하다,to be arrogant, haughty
유로화,euro
체중,body weight
대여하다,to rent, lend, loan
인식,recognition, awareness
완성하다,to complete, finish
유창하다,to be fluent
대중교통,public transportation
음식물,food (and drink)
단말기,terminal
끈,string, cord
묘사,description
주간,week;daytime
엿새,six days
예언,prophecy, prediction
경영학,business administration
수식하다,to modify
외교관,diplomat
학력,level of education, academic background;academic ability
도리,duty, reason
넘기다,to turn over
추신,P.S.
병들다,to become sick
호칭,title, name
상급생,senior (in higher class than you)
비록,even though, even if
반영하다,to reflect
세제,detergent
그루,counter for trees
나뭇가지,tree branch
술래잡기,tag, hide-and-seek
어느덧,before you know it
아낌없이,generously, ungrudgingly, freely
금반지,gold ring
스승,teacher
짤막하다,to be short, choppy
민망하다,to be embarrassed
오진,wrong diagnosis
이치,reason, logic
벗어나다,to get out, deviate
과도하다,to be excessive
자격증,certificate, license
각서,memorandum, note of promise
은신처,hideout, hiding place
동정,sympathy, pity;movements;virginity
숙취,hangover
보름달,full moon
금연석,non-smoking section
흡연석,smoking section
납치하다,to kidnap
암호,code, cipher
문명,civilization
지불하다,to pay
열흘,ten days
거부하다,to refuse, deny, reject
양로원,nursing home
줄무늬,stripes
세련되다,to be polished, refined
물방울,drop of water
수선하다,to mend, repair
호박,zucchini, pumpkin;amber
훗날,some day, the future
유적지,historical site
해돋이,sunrise
해양,the ocean, marine
장기간,long time
생선회,sashimi, sliced raw fish
고궁,old palace
잔디밭,lawn
하품하다,to yawn
금고,safe, vault
표지판,sign
접근하다,to approach, come close, access
칠하다,to paint
관리실,administrative office
펼치다,to open, unroll, outstretch
미워하다,to hate, loathe
아드님,son (hon.)
수능,college entrance exams (short from 수학능력시험)
택일,choosing one;choosing the day
전채,appetizer
출출하다,to be slightly hungry
위반하다,to violate, break
알,egg, spawn
앞서다,to go before, precede
반죽,dough
악역,villain
차세대,next generation
심기,mood, temper
전매특허,patent
악행,evil deed, wrongdoing
오슬오슬,shivering
퐁당,with a splash
튀기다,to fry;to splash
김치전,kimchi pancake
긴하다,to be important, urgent, essential
